$m$,$\lambda/\si{\nm}$,$\Delta\lambda/\si{\nm}$,$\delta\lambda/\si{\nm}$,$\Delta\delta\lambda/\si{\nm}$
5,231.01022511207853,242.5217733794263,-0.0035216980825787513,0.000875936681962842
4,161.44491410527107,197.82656015234792,-1.058682839964224,7.870227097757399
3,146.63865149877572,189.3328231525017,-1.3208646841596143,25.57345394830452
