$m$,$\lambda/\si{\nm}$,$\Delta\lambda/\si{\nm}$,$\delta\lambda/\si{\nm}$,$\Delta\delta\lambda/\si{\nm}$
5,435.8595023754591,5.191217301787542,0.08207321103319445,0.0012089164218712233
0,436.9951854350015,5.187843445038185,0.08187736696114778,0.001210209466838286
4,484.52507615566856,5.036514764943486,0.14645627896952748,0.002526103902374376
3,657.1012357753085,4.290312743007936,0.21882144817190338,0.009955031453727769
