MIN=0	0	0	0	0
MAX=50	10	10	10	70
SCALE=50	5	5	5	10
DEC=1	2	2	2	2
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V
13	0.205	22.7	0.205	22.7
13.1	0.15	22.9	0.15	22.9
13.199	0.095	23.05	0.095	23.05
13.299	0.07	23.25	0.07	23.25
13.399	0.035	23.45	0.035	23.45
13.499	0.025	23.65	0.025	23.65
13.599	0.005	23.8	0.005	23.8
13.699	0	24.05	0	24.05
13.799	0	24.2	0	24.2
13.899	0	24.4	0	24.4
13.999	0	24.6	0	24.6
14.099	0.015	24.8	0.015	24.8
14.199	0.045	25	0.045	25
14.299	0.105	25.2	0.105	25.2
14.399	0.18	25.35	0.18	25.35
14.499	0.29	25.6	0.29	25.6
14.599	0.415	25.75	0.415	25.75
14.699	0.575	25.95	0.575	25.95
14.799	0.765	26.1	0.765	26.1
14.899	0.915	26.3	0.915	26.3
14.999	1.02	26.5	1.02	26.5
15.099	1.015	26.7	1.015	26.7
15.199	0.93	26.9	0.93	26.9
15.299	0.81	27.1	0.81	27.1
15.399	0.67	27.3	0.67	27.3
15.499	0.525	27.45	0.525	27.45
15.599	0.4	27.65	0.4	27.65
15.699	0.285	27.85	0.285	27.85
15.799	0.21	28.05	0.21	28.05
15.899	0.125	28.25	0.125	28.25
15.999	0.09	28.4	0.09	28.4
16.099	0.045	28.65	0.045	28.65
16.199	0.035	28.8	0.035	28.8
16.3	0.01	29	0.01	29
16.399	0.01	29.2	0.01	29.2
16.499	0	29.35	0	29.35
16.599	0.025	29.6	0.025	29.6
16.699	0.04	29.75	0.04	29.75
16.799	0.11	29.95	0.11	29.95
16.899	0.18	30.1	0.18	30.1
16.999	0.32	30.3	0.32	30.3
17.099	0.465	30.5	0.465	30.5
17.2	0.69	30.7	0.69	30.7
17.3	0.895	30.9	0.895	30.9
17.4	1.155	31.05	1.155	31.05
17.5	1.355	31.3	1.355	31.3
17.6	1.49	31.45	1.49	31.45
17.7	1.52	31.65	1.52	31.65
17.8	1.475	31.85	1.475	31.85
17.9	1.345	32.05	1.345	32.05
18	1.185	32.2	1.185	32.2
18.1	0.955	32.45	0.955	32.45
18.2	0.77	32.6	0.77	32.6
18.3	0.585	32.8	0.585	32.8
18.4	0.45	33	0.45	33
18.5	0.335	33.2	0.335	33.2
18.6	0.235	33.4	0.235	33.4
18.7	0.17	33.55	0.17	33.55
18.8	0.11	33.75	0.11	33.75
18.9	0.08	33.95	0.08	33.95
19	0.055	34.15	0.055	34.15
19.1	0.055	34.35	0.055	34.35
19.2	0.075	34.55	0.075	34.55
19.3	0.125	34.7	0.125	34.7
19.4	0.2	34.9	0.2	34.9
19.5	0.33	35.1	0.33	35.1
19.6	0.485	35.3	0.485	35.3
19.7	0.73	35.45	0.73	35.45
19.799	0.98	35.65	0.98	35.65
19.9	1.34	35.85	1.34	35.85
