&a  °	I1  %
2.528	24.8
2.522	22.0
2.517	18.4
2.512	14.8
2.506	12.0
2.501	9.6
2.496	7.6
2.490	6.4
2.485	5.6
2.480	4.8
2.474	4.4
2.469	4.0
2.464	4.0
2.458	4.0
2.453	4.0
2.448	4.0
2.442	4.0
2.437	4.0
2.432	4.0
2.426	4.4
2.421	4.8
2.416	5.2
2.410	6.0
2.405	7.2
2.400	9.2
2.394	12.4
2.389	17.6
2.384	23.2
2.378	26.8
2.373	27.2
2.368	25.2
2.362	21.6
2.357	17.6
2.352	14.0
2.346	11.2
2.341	8.8
2.336	7.2
2.330	6.0
2.325	5.2
2.320	4.8
2.314	4.4
2.309	4.0
2.304	4.0
2.298	4.0
2.293	4.0
2.288	3.6
2.282	3.6
2.277	4.0
2.272	4.0
2.266	4.0
2.261	4.4
2.256	4.8
2.250	5.2
2.245	6.0
2.240	6.8
2.234	8.4
2.229	11.2
2.223	15.6
2.218	21.2
2.213	26.4
2.207	29.2
2.202	28.8
2.197	25.6
2.191	21.2
2.186	17.2
2.181	13.6
2.175	10.8
2.170	8.8
2.165	7.2
2.159	6.0
2.154	5.2
2.149	4.8
2.143	4.4
2.138	4.4
2.133	4.4
2.127	4.0
2.122	4.0
2.117	4.0
2.111	4.0
2.106	4.0
2.101	4.0
2.095	4.0
2.090	4.0
2.085	4.4
2.079	4.8
2.074	5.2
2.069	5.6
2.063	6.4
2.058	7.2
2.053	8.8
2.047	11.6
2.042	15.6
2.037	21.6
2.031	27.6
2.026	31.2
2.021	31.6
2.015	29.2
2.010	24.8
2.005	20.4
1.999	16.4
1.994	13.2
1.989	10.4
1.983	8.8
1.978	7.6
1.972	6.4
1.967	5.6
1.962	4.8
1.956	4.4
1.951	4.4
1.946	4.0
1.940	4.0
1.935	4.0
1.930	4.0
1.924	4.0
1.919	4.0
1.914	4.0
1.908	4.0
1.903	4.0
1.898	4.0
1.892	4.0
1.887	4.4
1.882	4.8
1.876	5.2
1.871	6.0
1.866	6.4
1.860	7.2
1.855	8.4
1.850	10.4
1.844	13.6
1.839	18.4
1.834	24.4
1.828	30.0
1.823	33.6
1.818	33.6
1.812	30.8
1.807	26.4
1.802	21.6
1.796	17.6
1.791	14.0
1.786	11.6
1.780	9.6
1.775	8.4
1.769	7.2
1.764	6.4
1.759	6.0
1.753	5.6
1.748	4.8
1.743	4.4
1.737	4.4
1.732	4.4
1.727	4.4
1.721	4.4
1.716	4.4
1.711	4.4
1.705	4.4
1.700	4.4
1.695	4.4
1.689	4.4
1.684	4.4
1.679	4.4
1.673	4.8
1.668	4.8
1.663	5.2
1.657	5.6
1.652	6.0
1.647	6.4
1.641	6.8
1.636	7.6
1.631	8.8
1.625	10.8
1.620	13.6
1.615	17.6
1.609	23.2
1.604	29.6
1.599	34.8
1.593	37.6
1.588	36.8
1.582	33.2
1.577	28.8
1.572	24.0
1.566	20.0
1.561	16.4
1.556	13.6
1.550	11.2
1.545	9.6
1.540	8.4
1.534	7.2
1.529	6.8
1.524	6.0
1.518	5.6
1.513	5.2
1.508	4.8
1.502	4.4
1.497	4.4
1.492	4.4
1.486	4.4
1.481	4.4
1.476	4.4
1.470	4.0
1.465	4.0
1.460	4.0
1.454	4.0
1.449	4.0
1.444	4.0
1.438	4.0
1.433	4.0
1.428	4.4
1.422	4.8
1.417	4.8
1.411	5.2
1.406	5.6
1.401	5.6
1.395	6.0
1.390	6.4
1.385	6.8
1.379	7.6
1.374	8.4
1.369	9.6
1.363	11.2
1.358	13.2
1.353	16.0
1.347	20.4
1.342	26.0
1.337	32.0
1.331	37.2
1.326	40.0
1.321	40.4
1.315	38.0
1.310	34.0
1.305	29.6
1.299	24.8
1.294	20.8
1.289	17.6
1.283	14.8
1.278	12.8
1.273	10.8
1.267	9.6
1.262	8.4
1.256	7.6
1.251	6.8
1.246	6.4
1.240	6.0
1.235	5.6
1.230	5.2
1.224	4.8
1.219	4.8
1.214	4.8
1.208	4.4
1.203	4.4
1.198	4.4
1.192	4.4
1.187	4.4
1.182	4.4
1.176	4.4
1.171	4.4
1.166	4.4
1.160	4.4
1.155	4.4
1.150	4.4
1.144	4.4
1.139	4.4
1.134	4.4
1.128	4.4
1.123	4.4
1.118	4.4
1.112	4.4
1.107	4.8
1.101	5.2
1.096	5.2
1.091	5.2
1.085	5.6
1.080	6.0
1.075	6.4
1.069	6.8
1.064	7.2
1.059	7.6
1.053	8.4
1.048	9.2
1.043	10.0
1.037	11.2
1.032	12.8
1.027	15.2
1.021	18.0
1.016	22.0
1.011	26.4
1.005	31.2
1.000	36.0
0.995	40.0
0.989	42.8
0.984	44.0
0.979	43.2
0.973	41.2
0.968	38.0
0.962	34.4
0.957	30.4
0.952	26.8
0.946	23.2
0.941	20.0
0.936	17.6
0.930	15.6
0.925	13.6
0.920	12.0
0.914	10.8
0.909	9.6
0.904	8.4
0.898	7.6
0.893	6.8
0.888	6.4
0.882	6.0
0.877	6.0
0.872	6.0
0.866	6.0
0.861	6.0
0.856	5.6
0.850	5.2
0.845	5.2
0.840	4.8
0.834	4.8
0.829	4.4
0.823	4.4
0.818	4.4
0.813	4.4
0.807	4.4
0.802	4.4
0.797	4.4
0.791	4.4
0.786	4.4
0.781	4.0
0.775	4.0
0.770	4.0
0.765	4.0
0.759	4.0
0.754	4.0
0.749	4.0
0.743	4.0
0.738	4.0
0.733	4.0
0.727	4.0
0.722	4.0
0.717	4.0
0.711	4.0
0.706	4.0
0.701	4.0
0.695	4.4
0.690	4.4
0.684	4.4
0.679	4.4
0.674	4.4
0.668	4.4
0.663	4.8
0.658	4.8
0.652	4.8
0.647	4.8
0.642	5.2
0.636	5.2
0.631	5.6
0.626	6.0
0.620	6.0
0.615	6.0
0.610	6.4
0.604	6.8
0.599	6.8
0.594	7.2
0.588	7.6
0.583	8.0
0.578	8.4
0.572	8.8
0.567	9.2
0.561	9.6
0.556	10.0
0.551	10.8
0.545	11.6
0.540	12.8
0.535	14.0
0.529	15.2
0.524	16.0
0.519	17.2
0.513	18.0
0.508	19.2
0.503	20.4
0.497	22.4
0.492	24.4
0.487	27.2
0.481	30.0
0.476	32.4
0.471	34.8
0.465	36.8
0.460	38.4
0.455	39.6
0.449	40.4
0.444	41.2
0.438	42.0
0.433	43.2
0.428	44.0
0.422	44.8
0.417	44.8
0.412	44.4
0.406	43.6
0.401	42.4
0.396	41.2
0.390	40.0
0.385	38.0
0.380	36.4
0.374	34.8
0.369	33.2
0.364	31.6
0.358	30.0
0.353	28.4
0.348	26.8
0.342	25.6
0.337	24.4
0.332	23.2
0.326	22.0
0.321	21.2
0.316	20.4
0.310	19.2
0.305	18.4
0.299	17.6
0.294	16.8
0.289	16.0
0.283	15.2
0.278	14.8
0.273	14.4
0.267	13.6
0.262	13.2
0.257	12.8
0.251	12.4
0.246	12.0
0.241	11.6
0.235	11.2
0.230	10.8
0.225	10.4
0.219	10.0
0.214	9.6
0.209	9.2
0.203	8.8
0.198	8.4
0.193	8.4
