MIN=0	0	0	0	0
MAX=50	10	10	10	70
SCALE=50	5	5	5	10
DEC=1	2	2	2	2
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V
13.2	0.825	22.5	0.825	22.5
13.3	0.61	22.7	0.61	22.7
13.4	0.475	22.9	0.475	22.9
13.5	0.41	23.1	0.41	23.1
13.6	0.385	23.25	0.385	23.25
13.7	0.43	23.5	0.43	23.5
13.8	0.49	23.65	0.49	23.65
13.9	0.595	23.85	0.595	23.85
14	0.745	24.05	0.745	24.05
14.1	0.91	24.2	0.91	24.2
14.2	1.12	24.45	1.12	24.45
14.3	1.34	24.6	1.34	24.6
14.4	1.61	24.8	1.61	24.8
14.5	1.88	25	1.88	25
14.6	2.19	25.2	2.19	25.2
14.7	2.505	25.4	2.505	25.4
14.8	2.83	25.6	2.83	25.6
14.9	3.175	25.8	3.175	25.8
15	3.495	25.95	3.495	25.95
15.1	3.79	26.15	3.79	26.15
15.2	3.86	26.35	3.86	26.35
15.3	3.67	26.55	3.67	26.55
15.4	3.31	26.7	3.31	26.7
15.5	2.82	26.95	2.82	26.95
15.6	2.39	27.1	2.39	27.1
15.7	1.85	27.3	1.85	27.3
15.8	1.415	27.45	1.415	27.45
15.9	1.095	27.65	1.095	27.65
16	0.86	27.9	0.86	27.9
16.1	0.73	28.05	0.73	28.05
16.2	0.7	28.25	0.7	28.25
16.3	0.74	28.45	0.74	28.45
16.4	0.865	28.65	0.865	28.65
16.5	1.015	28.8	1.015	28.8
16.6	1.23	29	1.23	29
16.7	1.46	29.2	1.46	29.2
16.8	1.75	29.35	1.75	29.35
16.9	2.1	29.55	2.1	29.55
17	2.44	29.75	2.44	29.75
17.1	2.875	29.95	2.875	29.95
17.2	3.28	30.15	3.28	30.15
17.3	3.775	30.35	3.775	30.35
17.4	4.235	30.5	4.235	30.5
17.5	4.745	30.75	4.745	30.75
17.6	5.16	30.9	5.16	30.9
17.7	5.475	31.1	5.475	31.1
17.8	5.595	31.3	5.595	31.3
17.9	5.41	31.5	5.41	31.5
18	4.985	31.65	4.985	31.65
18.1	4.47	31.85	4.47	31.85
18.2	3.805	32.05	3.805	32.05
18.3	3.13	32.25	3.13	32.25
18.4	2.48	32.45	2.48	32.45
18.5	2.015	32.65	2.015	32.65
18.6	1.67	32.8	1.67	32.8
18.7	1.415	33	1.415	33
18.8	1.315	33.2	1.315	33.2
18.9	1.325	33.4	1.325	33.4
19	1.43	33.55	1.43	33.55
19.1	1.64	33.75	1.64	33.75
19.2	1.91	33.95	1.91	33.95
19.3	2.27	34.15	2.27	34.15
