MIN=0	0	0	0	0
MAX=50	10	10	10	70
SCALE=50	5	5	5	10
DEC=1	2	2	2	2
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V
0	-0.02	0	-0.02	0
0.099	-0.02	0	-0.02	0
0.199	-0.02	0	-0.02	0
0.299	-0.02	0	-0.02	0
0.399	-0.02	0.05	-0.02	0.05
0.499	-0.02	0	-0.02	0
0.599	-0.025	0	-0.025	0
0.699	-0.02	0	-0.02	0
0.799	-0.025	0	-0.025	0
0.899	-0.02	0	-0.02	0
0.999	-0.025	0	-0.025	0
1.099	-0.02	0	-0.02	0
1.199	-0.02	0.25	-0.02	0.25
1.299	-0.02	0.4	-0.02	0.4
1.399	-0.025	0.6	-0.025	0.6
1.499	-0.02	0.8	-0.02	0.8
1.599	-0.025	1	-0.025	1
1.699	-0.02	1.15	-0.02	1.15
1.799	-0.025	1.4	-0.025	1.4
1.899	-0.02	1.55	-0.02	1.55
1.999	-0.025	1.75	-0.025	1.75
2.099	-0.025	1.95	-0.025	1.95
2.199	-0.025	2.1	-0.025	2.1
2.299	-0.02	2.35	-0.02	2.35
2.399	-0.025	2.5	-0.025	2.5
2.499	-0.02	2.7	-0.02	2.7
2.599	-0.025	2.9	-0.025	2.9
2.699	-0.02	3.05	-0.02	3.05
2.799	-0.025	3.25	-0.025	3.25
2.899	-0.02	3.45	-0.02	3.45
2.999	-0.025	3.65	-0.025	3.65
3.099	-0.02	3.85	-0.02	3.85
3.199	-0.025	4.05	-0.025	4.05
3.299	-0.02	4.2	-0.02	4.2
3.399	-0.02	4.4	-0.02	4.4
3.499	-0.02	4.6	-0.02	4.6
3.599	-0.02	4.8	-0.02	4.8
3.699	-0.02	5	-0.02	5
3.799	-0.02	5.2	-0.02	5.2
3.899	-0.02	5.35	-0.02	5.35
3.999	-0.02	5.55	-0.02	5.55
4.099	-0.015	5.75	-0.015	5.75
4.199	-0.015	5.95	-0.015	5.95
4.299	-0.01	6.15	-0.01	6.15
4.399	-0.01	6.3	-0.01	6.3
4.499	-0.005	6.5	-0.005	6.5
4.599	-0.005	6.7	-0.005	6.7
4.699	0	6.9	0	6.9
4.799	0	7.05	0	7.05
4.899	0	7.25	0	7.25
4.999	0.005	7.45	0.005	7.45
5.099	0.005	7.65	0.005	7.65
