MIN=0	0	0	0	0
MAX=50	10	10	10	70
SCALE=50	5	5	5	10
DEC=1	2	2	2	2
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V
0	-0.015	0	-0.015	0
0.1	-0.01	0	-0.01	0
0.199	-0.015	0	-0.015	0
0.3	-0.01	0	-0.01	0
0.399	-0.015	0	-0.015	0
0.499	-0.01	0	-0.01	0
0.599	-0.015	0	-0.015	0
0.699	-0.015	0	-0.015	0
0.799	-0.02	0	-0.02	0
0.899	-0.015	0	-0.015	0
0.999	-0.02	0	-0.02	0
1.099	-0.02	0	-0.02	0
1.199	-0.02	0	-0.02	0
1.299	-0.02	0	-0.02	0
1.399	-0.02	0	-0.02	0
1.499	-0.02	0	-0.02	0
1.599	-0.02	0	-0.02	0
1.699	-0.02	0	-0.02	0
1.799	-0.02	0.2	-0.02	0.2
1.899	-0.02	0.4	-0.02	0.4
1.999	-0.015	0.6	-0.015	0.6
2.099	-0.02	0.75	-0.02	0.75
2.199	-0.015	0.95	-0.015	0.95
2.299	-0.025	1.15	-0.025	1.15
2.399	-0.015	1.35	-0.015	1.35
2.499	-0.025	1.55	-0.025	1.55
2.6	-0.015	1.75	-0.015	1.75
2.699	-0.025	1.95	-0.025	1.95
2.799	-0.015	2.1	-0.015	2.1
2.899	-0.025	2.3	-0.025	2.3
2.999	-0.015	2.45	-0.015	2.45
3.099	-0.025	2.7	-0.025	2.7
3.199	-0.015	2.85	-0.015	2.85
3.299	-0.025	3.05	-0.025	3.05
3.399	-0.015	3.25	-0.015	3.25
3.499	-0.02	3.45	-0.02	3.45
3.599	-0.015	3.65	-0.015	3.65
3.699	-0.02	3.8	-0.02	3.8
3.799	-0.01	4.05	-0.01	4.05
3.899	-0.015	4.2	-0.015	4.2
3.999	-0.01	4.4	-0.01	4.4
4.099	-0.015	4.6	-0.015	4.6
4.199	-0.01	4.8	-0.01	4.8
4.299	-0.015	4.95	-0.015	4.95
4.399	-0.005	5.2	-0.005	5.2
4.5	-0.01	5.35	-0.01	5.35
4.599	0	5.55	0	5.55
4.699	0	5.75	0	5.75
4.799	0.005	5.9	0.005	5.9
4.899	0.01	6.1	0.01	6.1
4.999	0.02	6.3	0.02	6.3
5.099	0.025	6.5	0.025	6.5
5.199	0.04	6.7	0.04	6.7
