n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	1
19	1
20	1
21	0
22	1
23	0
24	0
25	0
26	1
27	1
28	2
29	2
30	2
31	4
32	4
33	3
34	8
35	1
36	9
37	2
38	7
39	4
40	4
41	5
42	8
43	4
44	8
45	6
46	3
47	10
48	6
49	17
50	10
51	11
52	16
53	18
54	14
55	9
56	5
57	10
58	16
59	8
60	10
61	9
62	15
63	16
64	20
65	11
66	8
67	12
68	20
69	12
70	16
71	13
72	9
73	14
74	16
75	12
76	14
77	15
78	15
79	23
80	21
81	22
82	12
83	16
84	18
85	20
86	13
87	19
88	24
89	20
90	21
91	14
92	23
93	28
94	22
95	32
96	27
97	32
98	28
99	48
100	45
101	37
102	53
103	60
104	60
105	63
106	57
107	56
108	68
109	60
110	62
111	68
112	67
113	83
114	61
115	92
116	79
117	122
118	151
119	176
120	265
121	360
122	438
123	635
124	804
125	1023
126	1219
127	1401
128	1466
129	1505
130	1494
131	1432
132	1387
133	1401
134	1377
135	1373
136	1329
137	1344
138	1245
139	1038
140	939
141	800
142	730
143	630
144	491
145	376
146	315
147	246
148	194
149	172
150	151
151	119
152	102
153	81
154	63
155	49
156	39
157	37
158	26
159	23
160	19
161	18
162	21
163	20
164	12
165	8
166	9
167	12
168	11
169	5
170	3
171	3
172	7
173	9
174	6
175	7
176	8
177	4
178	2
179	6
180	4
181	6
182	6
183	10
184	3
185	5
186	3
187	4
188	4
189	8
190	10
191	8
192	10
193	11
194	9
195	14
196	9
197	9
198	9
199	13
200	9
201	10
202	7
203	6
204	9
205	4
206	8
207	4
208	1
209	5
210	4
211	3
212	1
213	5
214	3
215	4
216	4
217	4
218	1
219	1
220	0
221	2
222	5
223	4
224	4
225	3
226	5
227	4
228	1
229	3
230	2
231	3
232	0
233	1
234	2
235	4
236	4
237	3
238	2
239	3
240	5
241	2
242	1
243	4
244	3
245	2
246	1
247	0
248	4
249	2
250	1
251	2
252	2
253	1
254	3
255	4
256	1
257	1
258	4
259	2
260	1
261	2
262	0
263	0
264	1
265	1
266	0
267	0
268	0
269	0
270	1
271	0
272	1
273	0
274	0
275	1
276	0
277	0
278	0
279	1
280	0
281	1
282	0
283	1
284	0
285	0
286	0
287	0
288	1
289	0
290	1
291	2
292	0
293	0
294	0
295	2
296	0
297	0
298	1
299	1
300	0
301	0
302	0
303	0
304	1
305	2
306	1
307	1
308	1
309	0
310	1
311	0
312	1
313	0
314	0
315	0
316	1
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	1
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	1
335	0
336	1
337	1
338	0
339	1
340	0
341	0
342	1
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	1
356	1
357	0
358	0
359	0
360	1
361	0
362	0
363	0
364	0
365	0
366	1
367	1
368	0
369	1
370	0
371	0
372	0
373	0
374	0
375	0
376	1
377	0
378	0
379	1
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	1
390	0
391	0
392	0
393	0
394	0
395	0
396	1
397	0
398	0
399	0
400	0
401	0
402	0
403	1
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	1
434	1
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	1
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	1
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	3
