n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	2
18	0
19	1
20	0
21	0
22	1
23	0
24	0
25	3
26	1
27	4
28	1
29	4
30	3
31	4
32	3
33	8
34	9
35	5
36	8
37	10
38	23
39	16
40	23
41	21
42	26
43	22
44	18
45	27
46	27
47	21
48	37
49	19
50	35
51	26
52	27
53	32
54	27
55	28
56	33
57	48
58	27
59	30
60	31
61	40
62	29
63	37
64	30
65	37
66	47
67	42
68	42
69	23
70	45
71	61
72	51
73	51
74	47
75	50
76	60
77	69
78	85
79	96
80	117
81	149
82	228
83	313
84	497
85	623
86	769
87	934
88	1002
89	1070
90	1024
91	954
92	899
93	870
94	836
95	848
96	961
97	1192
98	1475
99	1986
100	2563
101	3345
102	3948
103	4152
104	4142
105	3977
106	3494
107	2938
108	2582
109	2150
110	1840
111	1631
112	1427
113	1103
114	966
115	781
116	661
117	545
118	505
119	386
120	331
121	285
122	196
123	161
124	142
125	108
126	93
127	86
128	72
129	64
130	68
131	68
132	58
133	53
134	38
135	25
136	38
137	25
138	15
139	22
140	16
141	14
142	20
143	13
144	16
145	21
146	18
147	18
148	26
149	31
150	33
151	25
152	25
153	30
154	41
155	35
156	26
157	39
158	37
159	16
160	27
161	20
162	27
163	26
164	16
165	16
166	16
167	15
168	10
169	14
170	13
171	12
172	14
173	7
174	10
175	5
176	7
177	6
178	5
179	6
180	10
181	8
182	12
183	8
184	8
185	3
186	3
187	9
188	11
189	9
190	6
191	5
192	7
193	4
194	9
195	9
196	6
197	3
198	6
199	5
200	10
201	6
202	1
203	6
204	3
205	2
206	2
207	2
208	5
209	3
210	1
211	1
212	3
213	1
214	3
215	1
216	1
217	2
218	1
219	3
220	1
221	0
222	1
223	1
224	5
225	0
226	0
227	0
228	4
229	0
230	2
231	1
232	0
233	0
234	4
235	0
236	1
237	0
238	1
239	1
240	1
241	1
242	0
243	2
244	0
245	0
246	1
247	0
248	1
249	0
250	2
251	0
252	1
253	1
254	0
255	1
256	0
257	1
258	0
259	3
260	0
261	2
262	4
263	4
264	0
265	1
266	0
267	2
268	0
269	0
270	0
271	0
272	1
273	2
274	0
275	1
276	0
277	2
278	0
279	0
280	0
281	1
282	0
283	1
284	0
285	0
286	2
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	1
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	1
308	1
309	0
310	0
311	0
312	0
313	0
314	1
315	1
316	0
317	0
318	1
319	0
320	2
321	1
322	2
323	0
324	0
325	1
326	0
327	0
328	0
329	1
330	0
331	1
332	0
333	0
334	0
335	0
336	0
337	1
338	2
339	0
340	0
341	0
342	0
343	0
344	0
345	1
346	0
347	0
348	0
349	1
350	0
351	1
352	0
353	1
354	2
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	1
365	0
366	1
367	0
368	0
369	0
370	0
371	1
372	0
373	0
374	1
375	0
376	0
377	0
378	1
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	1
392	0
393	1
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	1
410	1
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	1
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	1
461	0
462	0
463	0
464	0
465	0
466	1
467	0
468	0
469	0
470	1
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
