&b / °	R_0 / 1/s	R_1 / 1/s	R_2 / 1/s
31,09	0,367		0,292
31,10	0,283	0	0,367
31,11	0,258		0,325
31,12	0,358		0,392
31,13	0,417		0,408
31,14	0,317		0,275
31,15	0,292		0,292
31,16	0,275		0,292
31,17	0,308		0,417
31,18	0,292		0,367
31,19	0,250		0,317
31,20	0,300	0	0,408
31,21	0,292		0,308
31,22	0,250		0,342
31,23	0,308		0,342
31,24	0,358		0,283
31,25	0,250		0,408
31,26	0,300		0,275
31,27	0,275		0,308
31,28	0,383		0,358
31,29	0,333		0,342
31,30	0,342	0	0,300
31,31	0,225		0,408
31,32	0,217		0,275
31,33	0,333		0,367
31,34	0,167		0,317
31,35	0,275		0,300
31,36	0,233		0,250
31,37	0,217		0,242
31,38	0,292		0,317
31,39	0,308		0,283
31,40	0,217	1	0,250
31,41	0,300		0,283
31,42	0,242		0,267
31,43	0,258		0,417
31,44	0,233		0,358
31,45	0,267		0,267
31,46	0,275		0,283
31,47	0,267		0,442
31,48	0,300		0,333
31,49	0,283		0,308
31,50	0,317	0	0,325
31,51	0,225		0,275
31,52	0,250		0,350
31,53	0,283		0,250
31,54	0,367		0,342
31,55	0,242		0,342
31,56	0,225		0,400
31,57	0,333		0,292
31,58	0,300		0,317
31,59	0,367		0,375
31,60	0,333	0	0,317
31,61	0,308		0,267
31,62	0,342		0,250
31,63	0,267		0,325
31,64	0,225		0,308
31,65	0,333		0,250
31,66	0,300		0,375
31,67	0,242		0,325
31,68	0,342		0,283
31,69	0,242		0,308
31,70	0,392	0	0,333
31,71	0,225		0,300
31,72	0,342		0,325
31,73	0,317		0,308
31,74	0,233		0,275
31,75	0,333		0,242
31,76	0,200		0,275
31,77	0,292		0,308
31,78	0,183		0,333
31,79	0,317		0,283
31,80	0,250	0	0,258
31,81	0,267		0,333
31,82	0,275		0,333
31,83	0,317		0,325
31,84	0,350		0,383
31,85	0,292		0,308
31,86	0,233		0,358
31,87	0,275		0,317
31,88	0,233		0,317
31,89	0,300		0,350
31,90	0,400	0	0,375
31,91	0,225		0,325
31,92	0,342		0,358
31,93	0,417		0,300
31,94	0,267		0,367
31,95	0,300		0,358
31,96	0,283		0,333
31,97	0,242		0,333
31,98	0,292		0,325
31,99	0,300		0,308
32,00	0,208	0	0,300
